event_slug,timestamp_ms,timestamp_iso,timestamp_est,event_type,price,size,size_change,side,best_bid,best_ask,token_id,is_winning_token,outcome,time_since_ticker_change_ms,ticker_changed_recently,old_tick_size,new_tick_size,market_resolved,error_message
btc-15min-up-or-down-04:45,1771581437513,2026-02-20 09:57:17,2026-02-20 04:57:17,ask,0.99,6250.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581437831,2026-02-20 09:57:17,2026-02-20 04:57:17,ask,0.99,6255.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581438556,2026-02-20 09:57:18,2026-02-20 04:57:18,ask,0.99,6260.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581438756,2026-02-20 09:57:18,2026-02-20 04:57:18,ask,0.99,6265.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581439173,2026-02-20 09:57:19,2026-02-20 04:57:19,ask,0.99,6270.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581441519,2026-02-20 09:57:21,2026-02-20 04:57:21,ask,0.99,6352.24,100.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581442047,2026-02-20 09:57:22,2026-02-20 04:57:22,ask,0.99,6357.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581442256,2026-02-20 09:57:22,2026-02-20 04:57:22,ask,0.99,6367.39,10.150000000000546,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581442555,2026-02-20 09:57:22,2026-02-20 04:57:22,ask,0.99,6529.39,162.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581442713,2026-02-20 09:57:22,2026-02-20 04:57:22,ask,0.99,6534.39,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581443593,2026-02-20 09:57:23,2026-02-20 04:57:23,ask,0.99,6544.39,10.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581444118,2026-02-20 09:57:24,2026-02-20 04:57:24,ask,0.99,6549.39,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581444633,2026-02-20 09:57:24,2026-02-20 04:57:24,ask,0.99,6554.39,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581445156,2026-02-20 09:57:25,2026-02-20 04:57:25,ask,0.99,6559.39,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581445366,2026-02-20 09:57:25,2026-02-20 04:57:25,ask,0.99,6564.39,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581445497,2026-02-20 09:57:25,2026-02-20 04:57:25,ask,0.99,6596.39,32.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581445671,2026-02-20 09:57:25,2026-02-20 04:57:25,ask,0.99,6601.99,5.599999999999454,ASK,0.97,0.99,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581446697,2026-02-20 09:57:26,2026-02-20 04:57:26,ask,0.99,6326.99,393.0,ASK,0.98,0.99,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581446954,2026-02-20 09:57:26,2026-02-20 04:57:26,ask,0.99,6335.5,8.510000000000218,ASK,0.98,0.99,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581447691,2026-02-20 09:57:27,2026-02-20 04:57:27,ask,0.99,6340.18,9.680000000000291,ASK,0.98,0.99,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581451645,2026-02-20 09:57:31,2026-02-20 04:57:31,ask,0.99,5282.81,68.32000000000062,ASK,0.98,0.99,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581454580,2026-02-20 09:57:34,2026-02-20 04:57:34,ask,0.99,5251.79,3.9799999999995634,ASK,0.98,0.99,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581462797,2026-02-20 09:57:42,2026-02-20 04:57:42,ask,0.99,3372.43,11.359999999999673,ASK,0.98,0.99,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581464870,2026-02-20 09:57:44,2026-02-20 04:57:44,ask,0.99,3335.4,10.970000000000255,ASK,0.98,0.99,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581466736,2026-02-20 09:57:46,2026-02-20 04:57:46,ask,0.99,3309.11,109.0,ASK,0.98,0.99,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581469953,2026-02-20 09:57:49,2026-02-20 04:57:49,bid,0.99,218.84,218.84,BID,0.99,N/A,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581469968,2026-02-20 09:57:49,2026-02-20 04:57:49,bid,0.99,232.88,14.039999999999992,BID,0.99,N/A,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581470000,2026-02-20 09:57:50,2026-02-20 04:57:50,bid,0.99,206.95,5.039999999999992,BID,0.99,N/A,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581470182,2026-02-20 09:57:50,2026-02-20 04:57:50,bid,0.99,486.99,307.02,BID,0.99,N/A,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581470262,2026-02-20 09:57:50,2026-02-20 04:57:50,bid,0.99,498.13,39.04000000000002,BID,0.99,N/A,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581471000,2026-02-20 09:57:50,2026-02-20 04:57:50,bid,0.99,652.26,156.62,BID,0.99,N/A,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581473406,2026-02-20 09:57:53,2026-02-20 04:57:53,bid,0.99,1402.2,777.0,BID,0.99,N/A,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581480302,2026-02-20 09:58:00,2026-02-20 04:58:00,bid,0.99,1819.0,566.8,BID,0.99,N/A,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581481841,2026-02-20 09:58:01,2026-02-20 04:58:01,bid,0.99,2438.4,619.4000000000001,BID,0.99,N/A,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581488235,2026-02-20 09:58:08,2026-02-20 04:58:08,bid,0.99,4690.67,2285.17,BID,0.99,N/A,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581489979,2026-02-20 09:58:09,2026-02-20 04:58:09,bid,0.99,4622.94,281.0,BID,0.99,N/A,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581492117,2026-02-20 09:58:12,2026-02-20 04:58:12,bid,0.99,5033.4,481.0,BID,0.99,N/A,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581498325,2026-02-20 09:58:18,2026-02-20 04:58:18,ask,0.99,178.0,25.0,ASK,0.98,0.99,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581498536,2026-02-20 09:58:18,2026-02-20 04:58:18,ask,0.99,1137.0,959.0,ASK,0.98,0.99,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581498859,2026-02-20 09:58:18,2026-02-20 04:58:18,ask,0.99,1145.98,8.980000000000018,ASK,0.98,0.99,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581499163,2026-02-20 09:58:19,2026-02-20 04:58:19,ask,0.99,1080.24,21.13000000000011,ASK,0.98,0.99,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581500875,2026-02-20 09:58:20,2026-02-20 04:58:20,ask,0.99,2757.8,1979.9500000000003,ASK,0.98,0.99,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581501016,2026-02-20 09:58:21,2026-02-20 04:58:21,ask,0.99,2896.56,138.75999999999976,ASK,0.98,0.99,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581501337,2026-02-20 09:58:21,2026-02-20 04:58:21,ask,0.99,2935.54,38.98000000000002,ASK,0.98,0.99,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581502264,2026-02-20 09:58:22,2026-02-20 04:58:22,ask,0.99,2537.64,903.9999999999998,ASK,0.98,0.99,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581505232,2026-02-20 09:58:25,2026-02-20 04:58:25,ask,0.99,2363.95,178.0,ASK,0.98,0.99,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581506321,2026-02-20 09:58:26,2026-02-20 04:58:26,ask,0.99,2373.95,10.0,ASK,0.98,0.99,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581508629,2026-02-20 09:58:28,2026-02-20 04:58:28,ask,0.99,2391.84,17.890000000000327,ASK,0.98,0.99,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
sol-15min-up-or-down-04:45,1771581509529,2026-02-20 09:58:29,2026-02-20 04:58:29,ask,0.99,1759.47,1759.47,ASK,0.85,0.94,88376234002074022050364440351272573210407661368505739229142625483679676517104,false,Down,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581520391,2026-02-20 09:58:40,2026-02-20 04:58:40,ask,0.99,2109.85,3.980000000000018,ASK,0.98,0.99,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581522013,2026-02-20 09:58:42,2026-02-20 04:58:42,ask,0.99,2125.24,22.61999999999989,ASK,0.98,0.99,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
sol-15min-up-or-down-04:45,1771581522317,2026-02-20 09:58:42,2026-02-20 04:58:42,ask,0.99,1769.47,10.0,ASK,0.91,0.94,88376234002074022050364440351272573210407661368505739229142625483679676517104,false,Down,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581525033,2026-02-20 09:58:45,2026-02-20 04:58:45,ask,0.99,1911.15,7.0,ASK,0.98,0.99,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581527616,2026-02-20 09:58:47,2026-02-20 04:58:47,ask,0.99,1994.04,90.0,ASK,0.98,0.99,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
